matrix(1120, 1)
( 0.348648 )
( 0.348648 )
( 0.348648 )
( 0.348649 )
( 0.348649 )
( 0.348649 )
( 0.348649 )
( 0.348649 )
( 0.34865 )
( 0.34865 )
( 0.34865 )
( 0.34865 )
( 0.34865 )
( 0.348651 )
( 0.348651 )
( 0.348651 )
( 0.348651 )
( 0.348651 )
( 0.348652 )
( 0.348652 )
( 0.348652 )
( 0.348652 )
( 0.348652 )
( 0.348653 )
( 0.348653 )
( 0.348653 )
( 0.348653 )
( 0.348653 )
( 0.348654 )
( 0.348654 )
( 0.348654 )
( 0.348654 )
( 0.348654 )
( 0.348655 )
( 0.348655 )
( 0.348655 )
( 0.348655 )
( 0.348655 )
( 0.348655 )
( 0.348655 )
( 0.824143 )
( 0.42986 )
( 0.824143 )
( 0.42986 )
( 0.824144 )
( 0.42986 )
( 0.824144 )
( 0.42986 )
( 0.824144 )
( 0.42986 )
( 0.824145 )
( 0.429861 )
( 0.824145 )
( 0.429861 )
( 0.824145 )
( 0.429861 )
( 0.824146 )
( 0.429861 )
( 0.824146 )
( 0.429862 )
( 0.824146 )
( 0.429862 )
( 0.824147 )
( 0.429862 )
( 0.824147 )
( 0.429862 )
( 0.824148 )
( 0.429863 )
( 0.824148 )
( 0.429863 )
( 0.824148 )
( 0.429863 )
( 0.824149 )
( 0.429863 )
( 0.824149 )
( 0.429864 )
( 0.824149 )
( 0.429864 )
( 0.82415 )
( 0.429864 )
( 0.82415 )
( 0.429864 )
( 0.82415 )
( 0.429864 )
( 0.824151 )
( 0.429865 )
( 0.824151 )
( 0.429865 )
( 0.824151 )
( 0.429865 )
( 0.824152 )
( 0.429865 )
( 0.824152 )
( 0.429866 )
( 0.824152 )
( 0.429866 )
( 0.824153 )
( 0.429866 )
( 0.824153 )
( 0.429866 )
( 0.824153 )
( 0.429866 )
( 0.824154 )
( 0.429867 )
( 0.824154 )
( 0.429867 )
( 0.824154 )
( 0.429867 )
( 0.824154 )
( 0.429867 )
( 0.824155 )
( 0.429867 )
( 0.824155 )
( 0.429868 )
( 0.824155 )
( 0.429868 )
( 0.824155 )
( 0.429868 )
( 0.824156 )
( 0.429868 )
( 0.328639 )
( 0.588916 )
( 0.817951 )
( 0.81531 )
( 0.845532 )
( 0.328639 )
( 0.588915 )
( 0.81795 )
( 0.81531 )
( 0.845533 )
( 0.328639 )
( 0.588915 )
( 0.81795 )
( 0.815311 )
( 0.845533 )
( 0.328639 )
( 0.588915 )
( 0.81795 )
( 0.815311 )
( 0.845533 )
( 0.328639 )
( 0.588915 )
( 0.81795 )
( 0.815312 )
( 0.845533 )
( 0.328639 )
( 0.588915 )
( 0.81795 )
( 0.815312 )
( 0.845534 )
( 0.328639 )
( 0.588915 )
( 0.81795 )
( 0.815313 )
( 0.845534 )
( 0.328639 )
( 0.588915 )
( 0.817949 )
( 0.815313 )
( 0.845534 )
( 0.328639 )
( 0.588914 )
( 0.817949 )
( 0.815314 )
( 0.845534 )
( 0.328639 )
( 0.588914 )
( 0.817949 )
( 0.815314 )
( 0.845534 )
( 0.328639 )
( 0.588914 )
( 0.817949 )
( 0.815315 )
( 0.845535 )
( 0.328639 )
( 0.588914 )
( 0.817949 )
( 0.815315 )
( 0.845535 )
( 0.328639 )
( 0.588914 )
( 0.817948 )
( 0.815316 )
( 0.845535 )
( 0.328639 )
( 0.588914 )
( 0.817948 )
( 0.815316 )
( 0.845535 )
( 0.328639 )
( 0.588913 )
( 0.817948 )
( 0.815317 )
( 0.845535 )
( 0.328639 )
( 0.588913 )
( 0.817948 )
( 0.815317 )
( 0.845536 )
( 0.328639 )
( 0.588913 )
( 0.817948 )
( 0.815318 )
( 0.845536 )
( 0.328639 )
( 0.588913 )
( 0.817947 )
( 0.815318 )
( 0.845536 )
( 0.328639 )
( 0.588913 )
( 0.817947 )
( 0.815319 )
( 0.845536 )
( 0.328639 )
( 0.588913 )
( 0.817947 )
( 0.815319 )
( 0.845537 )
( 0.328639 )
( 0.588912 )
( 0.817947 )
( 0.81532 )
( 0.845537 )
( 0.328639 )
( 0.588912 )
( 0.817946 )
( 0.81532 )
( 0.845537 )
( 0.328639 )
( 0.588912 )
( 0.817946 )
( 0.815321 )
( 0.845537 )
( 0.328639 )
( 0.588912 )
( 0.817946 )
( 0.815321 )
( 0.845537 )
( 0.328639 )
( 0.588912 )
( 0.817946 )
( 0.815321 )
( 0.845538 )
( 0.328639 )
( 0.588912 )
( 0.817945 )
( 0.815322 )
( 0.845538 )
( 0.328639 )
( 0.588911 )
( 0.817945 )
( 0.815322 )
( 0.845538 )
( 0.328639 )
( 0.588911 )
( 0.817945 )
( 0.815323 )
( 0.845538 )
( 0.328639 )
( 0.588911 )
( 0.817945 )
( 0.815323 )
( 0.845538 )
( 0.328639 )
( 0.588911 )
( 0.817944 )
( 0.815324 )
( 0.845538 )
( 0.328639 )
( 0.588911 )
( 0.817944 )
( 0.815324 )
( 0.845539 )
( 0.328639 )
( 0.588911 )
( 0.817944 )
( 0.815325 )
( 0.845539 )
( 0.328639 )
( 0.58891 )
( 0.817944 )
( 0.815325 )
( 0.845539 )
( 0.328639 )
( 0.58891 )
( 0.817943 )
( 0.815325 )
( 0.845539 )
( 0.328639 )
( 0.58891 )
( 0.817943 )
( 0.815326 )
( 0.845539 )
( 0.328639 )
( 0.58891 )
( 0.817943 )
( 0.815326 )
( 0.845539 )
( 0.328639 )
( 0.58891 )
( 0.817943 )
( 0.815326 )
( 0.84554 )
( 0.328639 )
( 0.58891 )
( 0.817942 )
( 0.815327 )
( 0.84554 )
( 0.328639 )
( 0.588909 )
( 0.817942 )
( 0.815327 )
( 0.84554 )
( 0.328639 )
( 0.588909 )
( 0.817942 )
( 0.815327 )
( 0.84554 )
( 0.658674 )
( 0.413862 )
( 0.960499 )
( 0.681793 )
( 0.918609 )
( 0.817941 )
( 0.991459 )
( 0.805791 )
( 0.328854 )
( 0.413885 )
( 0.658674 )
( 0.413863 )
( 0.960499 )
( 0.681793 )
( 0.918608 )
( 0.817941 )
( 0.991459 )
( 0.805791 )
( 0.328854 )
( 0.413885 )
( 0.658674 )
( 0.413863 )
( 0.960499 )
( 0.681793 )
( 0.918608 )
( 0.817941 )
( 0.991459 )
( 0.805792 )
( 0.328854 )
( 0.413884 )
( 0.658674 )
( 0.413863 )
( 0.9605 )
( 0.681792 )
( 0.918608 )
( 0.817941 )
( 0.991459 )
( 0.805792 )
( 0.328854 )
( 0.413884 )
( 0.658675 )
( 0.413863 )
( 0.9605 )
( 0.681792 )
( 0.918608 )
( 0.81794 )
( 0.991459 )
( 0.805792 )
( 0.328854 )
( 0.413884 )
( 0.658675 )
( 0.413864 )
( 0.960501 )
( 0.681792 )
( 0.918608 )
( 0.81794 )
( 0.991459 )
( 0.805793 )
( 0.328854 )
( 0.413884 )
( 0.658675 )
( 0.413864 )
( 0.960501 )
( 0.681792 )
( 0.918608 )
( 0.81794 )
( 0.991459 )
( 0.805793 )
( 0.328854 )
( 0.413884 )
( 0.658675 )
( 0.413864 )
( 0.960501 )
( 0.681792 )
( 0.918608 )
( 0.81794 )
( 0.991459 )
( 0.805794 )
( 0.328854 )
( 0.413884 )
( 0.658675 )
( 0.413864 )
( 0.960502 )
( 0.681791 )
( 0.918608 )
( 0.81794 )
( 0.991459 )
( 0.805794 )
( 0.328854 )
( 0.413883 )
( 0.658676 )
( 0.413864 )
( 0.960502 )
( 0.681791 )
( 0.918607 )
( 0.81794 )
( 0.99146 )
( 0.805794 )
( 0.328854 )
( 0.413883 )
( 0.658676 )
( 0.413865 )
( 0.960502 )
( 0.681791 )
( 0.918607 )
( 0.81794 )
( 0.99146 )
( 0.805795 )
( 0.328854 )
( 0.413883 )
( 0.658676 )
( 0.413865 )
( 0.960503 )
( 0.681791 )
( 0.918607 )
( 0.817939 )
( 0.99146 )
( 0.805795 )
( 0.328854 )
( 0.413883 )
( 0.658676 )
( 0.413865 )
( 0.960503 )
( 0.68179 )
( 0.918607 )
( 0.817939 )
( 0.99146 )
( 0.805795 )
( 0.328854 )
( 0.413883 )
( 0.658676 )
( 0.413865 )
( 0.960503 )
( 0.68179 )
( 0.918607 )
( 0.817939 )
( 0.99146 )
( 0.805796 )
( 0.328854 )
( 0.413882 )
( 0.658677 )
( 0.413866 )
( 0.960504 )
( 0.68179 )
( 0.918607 )
( 0.817939 )
( 0.99146 )
( 0.805796 )
( 0.328854 )
( 0.413882 )
( 0.658677 )
( 0.413866 )
( 0.960504 )
( 0.68179 )
( 0.918607 )
( 0.817939 )
( 0.99146 )
( 0.805797 )
( 0.328854 )
( 0.413882 )
( 0.658677 )
( 0.413866 )
( 0.960504 )
( 0.681789 )
( 0.918606 )
( 0.817939 )
( 0.99146 )
( 0.805797 )
( 0.328854 )
( 0.413882 )
( 0.658677 )
( 0.413866 )
( 0.960505 )
( 0.681789 )
( 0.918606 )
( 0.817939 )
( 0.99146 )
( 0.805797 )
( 0.328854 )
( 0.413882 )
( 0.658677 )
( 0.413866 )
( 0.960505 )
( 0.681789 )
( 0.918606 )
( 0.817938 )
( 0.99146 )
( 0.805798 )
( 0.328854 )
( 0.413881 )
( 0.658678 )
( 0.413867 )
( 0.960505 )
( 0.681789 )
( 0.918606 )
( 0.817938 )
( 0.99146 )
( 0.805798 )
( 0.328854 )
( 0.413881 )
( 0.658678 )
( 0.413867 )
( 0.960506 )
( 0.681788 )
( 0.918606 )
( 0.817938 )
( 0.99146 )
( 0.805798 )
( 0.328854 )
( 0.413881 )
( 0.658678 )
( 0.413867 )
( 0.960506 )
( 0.681788 )
( 0.918606 )
( 0.817938 )
( 0.99146 )
( 0.805799 )
( 0.328854 )
( 0.413881 )
( 0.658678 )
( 0.413867 )
( 0.960507 )
( 0.681788 )
( 0.918605 )
( 0.817938 )
( 0.99146 )
( 0.805799 )
( 0.328854 )
( 0.41388 )
( 0.658678 )
( 0.413868 )
( 0.960507 )
( 0.681788 )
( 0.918605 )
( 0.817938 )
( 0.991461 )
( 0.805799 )
( 0.328854 )
( 0.41388 )
( 0.658678 )
( 0.413868 )
( 0.960507 )
( 0.681787 )
( 0.918605 )
( 0.817937 )
( 0.991461 )
( 0.8058 )
( 0.328854 )
( 0.41388 )
( 0.658679 )
( 0.413868 )
( 0.960508 )
( 0.681787 )
( 0.918605 )
( 0.817937 )
( 0.991461 )
( 0.8058 )
( 0.328854 )
( 0.41388 )
( 0.658679 )
